speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,formatted_address,exoticCategory
tawfro1,Tawny Frogmouth,Podargus strigoides,L28355910,"Yard List, Ashgrove",2024-06-12 20:18,1.0,-27.4498303,152.9771613,True,False,True,S180932085,"220B Coopers Camp Rd, Ashgrove QLD 4060, Australia",
latnig2,Large-tailed Nightjar,Caprimulgus macrurus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:58,1.0,-12.396642,130.847231,True,False,False,S180927762,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
rabeat1,Rainbow Bee-eater,Merops ornatus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,3.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
ayweye3,Australian Yellow White-eye,Zosterops luteus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,3.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
norfan1,Northern Fantail,Rhipidura rufiventris,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
ausfig1,Australasian Figbird,Sphecotheres vieilloti,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
rewpar1,Red-winged Parrot,Aprosmictus erythropterus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,8.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
perfal,Peregrine Falcon,Falco peregrinus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
brbfly1,Broad-billed Flycatcher,Myiagra ruficollis,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
dusmyz1,Dusky Myzomela,Myzomela obscura,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
peadov1,Peaceful Dove,Geopelia placida,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,4.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
rubhon2,Rufous-banded Honeyeater,Conopophila albogularis,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,4.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
whbwoo4,White-breasted Woodswallow,Artamus leucorynchus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,4.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
helfri1,Helmeted Friarbird,Philemon buceroides,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
libcuc1,Little Bronze-Cuckoo,Chrysococcyx minutillus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
orfscr1,Orange-footed Megapode,Megapodius reinwardt,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
blabut1,Black Butcherbird,Melloria quoyi,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
arafan1,Arafura Fantail,Rhipidura dryas,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
shifly1,Shining Flycatcher,Myiagra alecto,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
spadro1,Spangled Drongo,Dicrurus bracteatus,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
basdov1,Bar-shouldered Dove,Geopelia humeralis,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
litfri1,Little Friarbird,Philemon citreogularis,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
rehmyz1,Red-headed Myzomela,Myzomela erythrocephala,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,4.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
whghon1,White-gaped Honeyeater,Stomiopera unicolor,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,2.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
railor7,Red-collared Lorikeet,Trichoglossus rubritorquis,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,40.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
crifin1,Crimson Finch,Neochmia phaeton,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,3.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
rcfdov1,Rose-crowned Fruit-Dove,Ptilinopus regina,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
vartri1,Varied Triller,Lalage leucomela,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,1.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
brohon1,Brown Honeyeater,Lichmera indistincta,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,4.0,-12.396642,130.847231,True,False,False,S180926287,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
dobfin1,Double-barred Finch,Stizoptera bichenovii,L1175729,Mangroves near Orchard Rd (Coconut Grove),2024-06-12 18:36,6.0,-12.396642,130.847231,True,False,False,S180926578,"21 Orchard Rd, Coconut Grove NT 0810, Australia",
plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,L33206976,"122 Dan Street, Karalee, Queensland, AU (-27.565, 152.805)",2024-06-12 18:20,1.0,-27.5649253,152.8051878,True,False,True,S180924258,"122 Dan St, Karalee QLD 4306, Australia",
maslap1,Masked Lapwing,Vanellus miles,L33206976,"122 Dan Street, Karalee, Queensland, AU (-27.565, 152.805)",2024-06-12 18:20,2.0,-27.5649253,152.8051878,True,False,True,S180924258,"122 Dan St, Karalee QLD 4306, Australia",
apostl1,Apostlebird,Struthidea cinerea,L2540242,Central Arnhem Rd at Roper Creek,2024-06-12 17:48,8.0,-14.63673,132.68574,True,False,False,S180927345,"State Route 24, Beswick Creek NT 0852, Australia",
sicfri1,Silver-crowned Friarbird,Philemon argenticeps,L2540242,Central Arnhem Rd at Roper Creek,2024-06-12 17:48,2.0,-14.63673,132.68574,True,False,False,S180927345,"State Route 24, Beswick Creek NT 0852, Australia",
galah,Galah,Eolophus roseicapilla,L2540242,Central Arnhem Rd at Roper Creek,2024-06-12 17:48,4.0,-14.63673,132.68574,True,False,False,S180927345,"State Route 24, Beswick Creek NT 0852, Australia",
